City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
122,Beringovskiy,63.05,179.3167,15.67,91,29,6.73,RU,scattered clouds
123,Saint George,37.1041,-113.5841,68.34,29,1,1.01,US,clear sky
124,Sakakah,29.9697,40.2064,59.45,37,0,4.56,SA,clear sky
125,Novosheshminsk,55.0651,51.2338,34.61,90,96,8.25,RU,overcast clouds
126,Santa Maria,-29.6842,-53.8069,58.91,80,16,7.18,BR,few clouds
127,Angoche,-16.2325,39.9086,71.76,94,8,7.54,MZ,clear sky
128,Teya,60.3778,92.6267,30.13,86,100,13.18,RU,overcast clouds
129,Daru,-9.0763,143.2092,85.24,74,56,9.15,PG,broken clouds
130,Touros,-5.1989,-35.4608,81.5,77,81,12.28,BR,broken clouds
131,Talas,38.6908,35.5538,29.07,86,0,0.0,TR,clear sky
132,Raudeberg,61.9875,5.1352,38.86,80,93,4.0,NO,overcast clouds
133,Tuatapere,-46.1333,167.6833,67.48,50,99,4.65,NZ,overcast clouds
134,Hamilton,39.1834,-84.5333,51.44,72,40,3.44,US,scattered clouds
135,Mar Del Plata,-38.0023,-57.5575,60.1,86,0,14.0,AR,clear sky
136,Half Moon Bay,37.4636,-122.4286,55.92,78,1,1.01,US,clear sky
137,Hecun,36.5333,114.1111,41.22,40,0,17.34,CN,clear sky
138,French Harbor,16.35,-86.4333,77.0,92,90,1.99,HN,overcast clouds
139,Ola,59.5833,151.2833,25.14,84,100,9.57,RU,overcast clouds
140,San Cristobal,7.7669,-72.225,71.78,90,98,1.74,VE,overcast clouds
141,Awbari,26.5921,12.7805,67.87,27,94,11.63,LY,overcast clouds
142,Ibotirama,-12.1853,-43.2206,71.6,95,100,3.49,BR,overcast clouds
143,Ponta Do Sol,32.6667,-17.1,66.83,66,14,6.64,PT,few clouds
144,Dunedin,-45.8742,170.5036,64.8,68,44,7.18,NZ,scattered clouds
145,Lebu,-37.6167,-73.65,52.59,94,74,9.6,CL,broken clouds
146,Qaanaaq,77.484,-69.3632,2.91,70,55,7.47,GL,broken clouds
147,Riyadh,24.6877,46.7219,60.94,27,53,7.58,SA,broken clouds
148,Russell,32.3502,-85.1999,49.23,81,1,0.0,US,clear sky
149,Tombouctou,20.0,-3.0,74.59,23,3,8.97,ML,clear sky
150,Lagoa,39.05,-27.9833,68.23,85,4,21.88,PT,clear sky
151,Blackfoot,43.1905,-112.345,37.35,56,23,8.01,US,few clouds
152,Hobyo,5.3505,48.5268,78.84,67,29,10.45,SO,scattered clouds
153,Shirokiy,49.758,129.523,25.02,62,100,8.28,RU,overcast clouds
154,Sao Filipe,14.8961,-24.4956,78.01,74,100,7.23,CV,overcast clouds
155,Port Hedland,-20.3167,118.5667,82.45,54,30,19.57,AU,scattered clouds
156,Tuktoyaktuk,69.4541,-133.0374,10.98,96,32,3.62,CA,scattered clouds
157,Nyagan,62.1406,65.3936,34.03,90,100,8.9,RU,overcast clouds
158,Dikson,73.5069,80.5464,9.36,95,100,0.98,RU,overcast clouds
159,Fortuna,40.5982,-124.1573,45.99,69,1,0.0,US,clear sky
160,Kavieng,-2.5744,150.7967,85.12,69,9,16.87,PG,light rain
161,Coos Bay,43.3665,-124.2179,48.92,97,90,8.05,US,overcast clouds
162,Bathsheba,13.2167,-59.5167,81.21,74,40,14.97,BB,scattered clouds
163,Vaini,-21.2,-175.2,78.96,94,90,5.75,TO,moderate rain
164,Waddan,29.1614,16.139,68.31,33,100,8.81,LY,overcast clouds
165,Bengkulu,-3.8004,102.2655,82.06,70,100,5.23,ID,heavy intensity rain
166,Arlit,18.7369,7.3853,76.64,14,57,8.14,NE,broken clouds
167,Port Alfred,-33.5906,26.891,64.42,86,100,7.74,ZA,light rain
168,Coyutla,20.25,-97.65,69.44,94,100,1.03,MX,overcast clouds
169,Ormara,25.2088,64.6357,78.94,35,0,6.13,PK,clear sky
170,San Ignacio,17.1561,-89.0714,68.14,94,0,0.0,BZ,clear sky
171,Sobolevo,54.4299,31.8996,41.11,90,100,14.32,RU,light rain
172,Mahebourg,-20.4081,57.7,78.26,78,75,10.36,MU,broken clouds
173,Noumea,-22.2763,166.4572,84.18,63,57,11.72,NC,broken clouds
174,Mount Isa,-20.7333,139.5,85.77,58,53,10.36,AU,broken clouds
175,Shimoda,34.6667,138.95,69.91,66,62,21.54,JP,broken clouds
176,Buala,-8.145,159.5921,86.16,60,73,7.27,SB,broken clouds
177,Ardahan,41.1087,42.7022,35.33,88,43,1.52,TR,scattered clouds
178,Berlevag,70.8578,29.0864,29.8,68,100,7.63,NO,overcast clouds
179,Margate,51.3813,1.3862,44.69,86,90,1.99,GB,overcast clouds
180,Malpe,13.35,74.7167,78.1,83,92,4.21,IN,overcast clouds
181,Coihaique,-45.5752,-72.0662,44.55,81,0,2.3,CL,clear sky
182,Bahia Honda,22.9036,-83.1592,70.48,67,15,10.38,CU,few clouds
183,Rio Grande,-32.035,-52.0986,52.95,76,0,4.63,BR,clear sky
184,Lages,-27.8161,-50.3261,58.3,98,100,3.85,BR,overcast clouds
185,Vanavara,60.34,102.2797,29.43,88,100,12.53,RU,overcast clouds
186,Puerto Madryn,-42.7692,-65.0385,61.57,48,82,6.02,AR,broken clouds
187,Vostok,46.4856,135.8833,39.24,33,98,2.48,RU,overcast clouds
188,Pisco,-13.7,-76.2167,65.01,82,0,2.3,PE,clear sky
189,Bure,10.7,37.0667,54.9,89,69,2.55,ET,broken clouds
190,Griffith,41.5284,-87.4237,57.88,70,1,1.01,US,clear sky
191,Kochevo,59.5994,54.3125,31.95,86,66,8.72,RU,broken clouds
192,Ocampo,21.65,-101.5,50.02,56,29,6.98,MX,scattered clouds
193,Nelson Bay,-32.7167,152.15,78.76,74,39,10.02,AU,scattered clouds
194,Rassvet,46.8333,40.75,41.94,100,99,6.17,RU,overcast clouds
195,Mana,5.6592,-53.7767,78.55,87,98,8.81,GF,overcast clouds
196,Narsaq,60.9167,-46.05,30.42,81,100,1.95,GL,overcast clouds
197,Taoudenni,22.6783,-3.9836,68.36,22,0,15.68,ML,clear sky
198,Capitao Poco,-1.7464,-47.0594,74.07,94,34,3.83,BR,scattered clouds
199,Kenai,60.5544,-151.2583,31.14,93,90,6.91,US,light snow
200,Dingle,10.9995,122.6711,86.22,75,43,12.17,PH,scattered clouds
201,Sibiti,-3.6819,13.3499,69.76,99,100,3.22,CG,light rain
202,Kavaratti,10.5669,72.642,81.52,75,100,7.43,IN,overcast clouds
203,El Alto,-4.2714,-81.2147,64.0,83,39,17.49,PE,scattered clouds
204,Lorengau,-2.0226,147.2712,83.03,79,43,10.38,PG,scattered clouds
205,Arraial Do Cabo,-22.9661,-42.0278,70.18,73,68,5.37,BR,broken clouds
206,Biak,-0.9131,122.8766,83.71,73,85,1.7,ID,overcast clouds
207,Mubi,10.2676,13.2644,74.8,54,93,2.3,NG,overcast clouds
208,Gold Coast,-28.0,153.4333,84.34,78,100,12.24,AU,light rain
209,Coquimbo,-29.9533,-71.3436,55.13,94,0,3.44,CL,clear sky
210,Toppenish,46.3774,-120.3087,48.81,74,70,5.73,US,broken clouds
211,Port Hardy,50.6996,-127.4199,41.0,93,90,3.44,CA,light intensity shower rain
212,Saskylakh,71.9167,114.0833,13.55,93,100,9.26,RU,overcast clouds
213,Coahuayana,18.7333,-103.6833,76.73,87,100,2.1,MX,overcast clouds
214,Mezen,65.8522,44.24,24.42,94,59,8.03,RU,broken clouds
215,Panjakent,39.4952,67.6093,37.2,49,100,3.53,TJ,overcast clouds
216,Qaqortoq,60.7167,-46.0333,30.7,83,100,3.36,GL,overcast clouds
217,Kodiak,57.79,-152.4072,31.55,90,97,12.88,US,light snow
218,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.31,86,11,7.83,BR,few clouds
219,Ilo,-17.6394,-71.3375,63.39,84,71,4.52,PE,broken clouds
220,Dubinino,55.6192,89.0911,33.15,51,74,16.24,RU,broken clouds
221,Pevek,69.7008,170.3133,8.06,90,100,8.14,RU,overcast clouds
222,Ligatne,57.2343,25.0406,39.25,94,100,5.01,LV,overcast clouds
223,Faanui,-16.4833,-151.75,79.52,74,23,9.53,PF,few clouds
224,Quelimane,-17.8786,36.8883,71.55,94,5,0.0,MZ,fog
225,Tura,25.5198,90.2201,73.02,63,72,0.63,IN,broken clouds
226,Dhemaji,27.4833,94.5833,73.47,52,3,3.53,IN,clear sky
227,Sarankhola,22.3082,89.7897,75.58,68,29,5.93,BD,scattered clouds
228,Kondinskoye,59.6481,67.41,32.5,98,100,11.59,RU,light snow
229,Willowmore,-33.2926,23.4895,54.41,81,100,4.09,ZA,overcast clouds
230,Byron Bay,-28.65,153.6167,82.06,83,100,5.59,AU,overcast clouds
231,Victoria,22.2855,114.1577,70.03,64,46,5.99,HK,scattered clouds
232,Upernavik,72.7868,-56.1549,9.86,76,5,6.17,GL,clear sky
233,Souillac,-20.5167,57.5167,78.37,78,75,10.36,MU,broken clouds
234,Fairbanks,64.8378,-147.7164,24.76,90,90,0.0,US,light snow
235,Ushtobe,45.2514,77.9838,22.42,74,5,3.78,KZ,clear sky
236,Indiana,40.0003,-86.2503,49.96,78,1,4.61,US,clear sky
237,Tyubuk,56.0552,60.9405,37.44,83,100,14.07,RU,overcast clouds
238,Aklavik,68.2191,-135.0107,16.63,96,90,4.72,CA,overcast clouds
239,Tafresh,34.692,50.013,35.22,73,2,2.91,IR,clear sky
240,San Patricio,28.017,-97.5169,70.83,73,0,6.82,US,clear sky
241,Abapo,-18.8333,-63.4667,64.85,70,98,3.65,BO,overcast clouds
242,Barranca De Upia,4.5696,-72.9668,72.68,95,100,4.43,CO,overcast clouds
