City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Biak,ID,83.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
207,Mubi,NG,74.8,overcast clouds,10.2676,13.2644,Hotel
208,Gold Coast,AU,84.34,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
209,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Punto de encuentro
210,Toppenish,US,48.81,broken clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
211,Port Hardy,CA,41.0,light intensity shower rain,50.6996,-127.4199,Airport Inn
213,Coahuayana,MX,76.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
214,Mezen,RU,24.42,broken clouds,65.8522,44.24,Gostevoy Dom Everest
215,Panjakent,TJ,37.2,overcast clouds,39.4952,67.6093,Salom Hostel
216,Qaqortoq,GL,30.7,overcast clouds,60.7167,-46.0333,Siniffik Inn
217,Kodiak,US,31.55,light snow,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
218,Sao Jose Da Coroa Grande,BR,77.31,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
219,Ilo,PE,63.39,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
221,Pevek,RU,8.06,overcast clouds,69.7008,170.3133,Severnoye Zoloto
222,Ligatne,LV,39.25,overcast clouds,57.2343,25.0406,Kūrortviesnīca Līgatne
223,Faanui,PF,79.52,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
224,Quelimane,MZ,71.55,fog,-17.8786,36.8883,Hotel Flamingo
225,Tura,IN,73.02,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
226,Dhemaji,IN,73.47,clear sky,27.4833,94.5833,SPOT ON 48710 Hotel Shikha
227,Sarankhola,BD,75.58,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
228,Kondinskoye,RU,32.5,light snow,59.6481,67.41,Gostinitsa
229,Willowmore,ZA,54.41,overcast clouds,-33.2926,23.4895,Jumper's Place
230,Byron Bay,AU,82.06,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
231,Victoria,HK,70.03,scattered clouds,22.2855,114.1577,Mini Hotel Central
232,Upernavik,GL,9.86,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
233,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Fairbanks,US,24.76,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
235,Ushtobe,KZ,22.42,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
236,Indiana,US,49.96,clear sky,40.0003,-86.2503,WonderTree Farm
